Name,Sub-Domain,Field,Country,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Author,Popularity,Tags,Note
CyberNative,Application Security,Cybersecurity,Global,Secure-vs-insecure code pairs (DPO) across languages,https://huggingface.co/datasets/CyberNative/Code_Vulnerability_Security_DPO,1,Dataset,JSON,6.5,6.5,4656,8.061,4079,Apache-2.0,2024,Yes,Yes,Yes,Yes,18/6/2026,,,,
ZeoVan,Application Security,Cybersecurity,Global,"C/C++ functions labeled vulnerable / not, from CVEs",https://github.com/ZeoVan/MSR_20_Code_Vulnerability_CSV_Dataset,1,Repository,CSV,53.8,57.7,4432,36.803,3630,MIT,2020,Yes,Yes,Yes,,18/6/2026,,,,
AYI-NEDJIMI,Cloud Security,Cybersecurity,Global,"Cloud security best-practices, misconfigs & Q&A",https://huggingface.co/datasets/AYI-NEDJIMI/cloud-security-en,3,Dataset,Parquet,0.1,0.32,230,0.066,97,Apache-2.0,2026,Yes,Yes,Yes,Yes,18/6/2026,,,,
darkknight25,Cloud Security,Cybersecurity,Global,Cloud vulnerabilities with vulnerable code + PoC,https://huggingface.co/datasets/darkknight25/Cloud_Vulnerabilities_Dataset,1,Dataset,JSONL,0.5,0.5,1200,,,MIT,2025,Yes,,Yes,Yes,18/6/2026,,,,
darkknight25,Cryptography,Cybersecurity,Global,Cryptanalysis tools/techniques across cipher types,https://huggingface.co/datasets/darkknight25/Cryptanalysis_Toolkit_Dataset,1,Dataset,JSON,0.1,0.11,350,0.002,3,MIT,2025,Yes,Yes,Yes,Yes,18/6/2026,,,,
HappyHackingOrange,Cryptography,Cybersecurity,Global,Ciphertext features for classic-cipher classification,https://github.com/HappyHackingOrange/Ciphertext-Classification-Ensemble-SVM,1,Dataset,CSV,125.4,145.1,85000,,,MIT,2022,Yes,,Yes,,18/6/2026,,,,
ScortonAI,Data Security and Privacy,Cybersecurity,Global,US healthcare (HIPAA) data-breach records,https://huggingface.co/datasets/ScortonAI/Cyber-Security-Breaches,1,Dataset,JSONL,0.3,0.3,1055,0.297,134,MIT,2025,Yes,Yes,Yes,,18/6/2026,,,,
ethanolivertroy,"Governance, Risk and Compliance",Cybersecurity,Global,NIST cybersecurity-framework training Q&A,https://huggingface.co/datasets/ethanolivertroy/nist-cybersecurity-training,2,Dataset,JSONL,956.8,956.8,530912,,,CC0-1.0,2025,Yes,,Yes,Yes,18/6/2026,,,,
AndreaSimeri,"Governance, Risk and Compliance",Cybersecurity,Global,GDPR articles + recitals text,https://huggingface.co/datasets/AndreaSimeri/GDPR,2,Dataset,CSV,0.4,0.478,833,,,Apache-2.0,2024,Yes,,Yes,,18/6/2026,,,,
sims2k,"Governance, Risk and Compliance",Cybersecurity,Global,GDPR question-answer instruction set,https://huggingface.co/datasets/sims2k/GDPR_QA_instruct_dataset,1,Dataset,Parquet,1,2.4,316,2.481,314,MIT,2024,Yes,Yes,Yes,Yes,18/6/2026,,,,
iann0036 ,Identity Access and Management,Cybersecurity,Global,Cloud IAM actions/roles for AWS/Azure/GCP,https://github.com/iann0036/iam-dataset,3,Dataset,JSON,94.8,73.1,3693,24.903,2012,MIT,2026,Yes,Yes,Yes,,18/6/2026,,,,
lucamassaron ,Identity Access and Management,Cybersecurity,Global,Employee resource access grant/deny records,https://www.kaggle.com/datasets/lucamassaron/amazon-employee-access-challenge,2,Dataset,CSV,5.7,17.4,91690,,,CC0,2021,Yes,,Yes,,18/6/2026,,,,
cyberprince,Incident Response and Forensics,Cybersecurity,Global,"Digital-forensics tools, commands & usage",https://www.kaggle.com/datasets/cyberprince/forensic-toolkit-dataset/data,1,Dataset,JSONL,0.1,0.1,162,0.096,160,MIT,2025,Yes,Yes,Yes,,18/6/2026,,,,
UCI Internet Firewall,Network Security,Cybersecurity,Global,Firewall traffic logs with allow/deny/drop action,https://archive.ics.uci.edu/dataset/542/internet+firewall+data,1,Dataset,CSV,2.7,14.2,65532,,,CC BY 4.0,2019,Yes,,Yes,,18/6/2026,,,,
ziya07,Network Security,Cybersecurity,Global,6G network-slicing security dataset,https://www.kaggle.com/datasets/ziya07/network-security-dataset,1,Dataset,CSV,0.2,0.5,1000,,,CC0: Public domain,2025,Yes,,Yes,Yes,18/6/2026,,,,
Shaeh,Penetration Testing,Cybersecurity,Global,"Exploit entries with PoC, type, platform",https://huggingface.co/datasets/Shaeh/Exploit_Database_Dataset,1,Dataset,JSONL,0.4,0.4,10411,0.323,521,MIT,2026,Yes,Yes,Yes,,18/6/2026,,,,
ALPHAzero1233,Vulnerability Management,Cybersecurity,Global,All CVE records as instruction-tuning data,https://huggingface.co/datasets/ALPHAzero1233/All-CVE-Records-Training-Dataset,1,Dataset,JSONL,458,458,297441,,,Apache-2.0,2026,Yes,,Yes,,18/6/2026,,,,
stasvinokur,Vulnerability Management,Cybersecurity,Global,"CVE records 1999–2025 with CVSS, severity, CWE",https://huggingface.co/datasets/stasvinokur/cve-and-cwe-dataset-1999-2025,1,Dataset,CSV,97.8,121.3,280694,245.918,251207,CC0-1.0,2025,Yes,Yes,Yes,,18/6/2026,,,,
katehighnam,Security Operations,Cybersecurity,Global,Host kernel/process logs for anomaly detection,https://www.kaggle.com/datasets/katehighnam/beth-dataset,3,Dataset,CSV,884.9,525.97,3808810,,,CC0: Public domain,2021,Yes,,Yes,,18/6/2026,,,,
darkknight25,Security Operations,Cybersecurity,Global,Synthetic SIEM security-event logs,https://huggingface.co/datasets/darkknight25/Advanced_SIEM_Dataset,1,Dataset,JSONL,120.5,120.5,100000,103.518,68556,MIT,2025,Yes,Yes,Yes,Yes,18/6/2026,,,,
