Name,Sub-Domain,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Author,Popularity,Tags,Note,Blacklist Reason
chaitanya205 ,Cryptography,Ciphertexts labeled by encryption algorithm (AES/DES/…),https://www.kaggle.com/datasets/chaitanya205/cryptographic-algorithm-classification-dataset,1,Dataset,CSV,4.1,5.2,20000,,,CC BY-SA 4.0,2025,Yes,,Yes,,18/6/2026,,,,,non-commercial/copyleft license (sa)
phishing-email-dataset,Threat Intelligence,Phishing vs benign emails,https://huggingface.co/datasets/zefang-liu/phishing-email-dataset,1,Dataset,CSV,49.6,50.7,18650,,,LGPL 3.0,2024,Yes,,Yes,,20/6/2026,,,,,non-commercial/copyleft license (lgpl)
gtfobins,Penetration Testing,GTFOBins Unix LotL binaries for privilege escalation / restriction bypass.,https://github.com/GTFOBins/GTFOBins.github.io,1,Repository,-,-,0.23,478,0.001,1,GPL-3.0,2026,Yes,Yes,Yes,,20/6/2026,,,,,non-commercial/copyleft license (gpl)
malapi2019,Threat Intelligence,MalAPI2019 dynamic Windows API-call sequences (1000 calls/sample) with family labels.,https://www.kaggle.com/datasets/focatak/malapi2019,2,Dataset,TXT,502,496.32,7107,,,CC BY-NC-SA 4.0,2019,Yes,,Yes,,20/6/2026,,,,,non-commercial/copyleft license (nc)
yara-rules,Threat Intelligence,Community YARA rules for malware family / behaviour detection.,https://github.com/Yara-Rules/rules,1,Repository,Repo,,6.03,566,1.67,500,GPL v2,2022,Yes,Yes,Yes,,20/6/2026,,,,,non-commercial/copyleft license (gpl)
lolbas,Threat Intelligence,Living-Off-the-Land Binaries And Scripts (LOLBAS) technique definitions.,https://github.com/LOLBAS-Project/LOLBAS,1,Repository,-,-,0.47,242,0.402,265,GPL v3,2026,Yes,Yes,Yes,,20/6/2026,,,,,non-commercial/copyleft license (gpl)
ranatariq09,Cryptography,PQC Algorithms Benchmark Data,https://www.kaggle.com/datasets/ranatariq09/pqc-algorithms-benchmark-data,2,Dataset,CSV,17.25,40.21,108460,,,GPL 3,2025,Yes,,Yes,,22/06/2026,,,,,non-commercial/copyleft license (gpl)
2021-cloud-misconfigurations,Cloud Security,-,https://github.com/rapid7/data/blob/main/2021-cloud-misconfigurations/2021-cloud-misconfigurations.csv,1,Repository,CSV,0.04,0.08,122,,,No License,2021,Yes,,Yes,,22/06/2026,,,,,non-commercial/copyleft license (no license)
IBM Quantum,Cryptography,-,https://www.ibm.com/quantum,1,Website,HTML,-,0.2,25,0.558,65,Need Permission for commercial,2026,Yes,Yes,Yes,,22/06/2026,,,,,non-commercial/copyleft license (need permission)
QNLab-USTC/Key-Management-and-Service-Framework-for-QKD-Networks,Cryptography,QKD network key-management & service framework with simulated key-data files for emulation.,https://github.com/QNLab-USTC/Key-Management-and-Service-Framework-for-QKD-Networks,1,Repository,MD,0.005,0.005,1,,,GPL-3.0,2026,Yes,,Yes,,23/06/2026,,,,,non-commercial/copyleft license (gpl)
OWASP Top Ten Web Application Security Risks,Application Security,The OWASP Top 10 is a standard awareness document for developers and web application security. It represents a broad consensus about the most critical security ...,https://owasp.org/www-project-top-ten/,,Website,HTML,,,,,,CC BY-SA 4.0,2025-12-24,,,,,14/07/2026,owasp.org,,,,non-commercial/copyleft license (sa)
OWASP Secure Coding Practices,Application Security,This guide provides coding practices that can be translated into coding requirements without the need for the developer to have an in depth understanding of ...,https://owasp.org/www-project-secure-coding-practices-quick-reference-guide/stable-en/01-introduction/05-introduction,,Website,HTML,,,,,,CC BY-SA 4.0,2024-05-22,,,,,14/07/2026,owasp.org,,,,non-commercial/copyleft license (sa)
SQL Injection Prevention,Application Security,"This cheat sheet will help you prevent SQL injection flaws in your applications. It will define what SQL injection is, explain where those flaws occur, and ...",https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,,Website,HTML,,,,,,CC BY-SA 4.0,2026-07-13,,,,,14/07/2026,cheatsheetseries.owasp.org,,,,non-commercial/copyleft license (sa)
darkbitio,Cloud Security,Cloud security configuration checks. Contribute to ... These scripts are designed to return a series of potential misconfigurations and security risks.,https://github.com/darkbitio/scans,,Repository,,2.22,,,,,GPL-3.0,2020-07-06,,,,,14/07/2026,darkbitio,5,,,non-commercial/copyleft license (gpl)
How to Download a File from GitHub: Step-by-Step Guide,Application Security,"If you need to download an application, file, or source code from GitHub, finding the download link can be a little tricky regardless of your skill level. In this article, we'll go over how to download a release, a single file, and clone (or download) a directory on GitHub.",https://www.wikihow.com/Download-a-File-from-GitHub,1,Website,HTML,0.11,,,,,All Rights Reserved,2026-07-14,,,,,15/07/2026,wikihow.com,,,,non-commercial/copyleft license (all rights reserved)
DataHub Collections,Data Security and Privacy,Collections Curated dataset collections The awesome section presents collections of high quality datasets organized by topic. Home page for awesome collections is located in the awesome-data repository on GitHub and should be modified from there.,https://datahub.io/collections,,Website,HTML,,,,,,All Rights Reserved,,,,,,15/07/2026,datahub.io,,,,non-commercial/copyleft license (all rights reserved)
VUDENC: Vulnerability Detection with Deep Learning on a ...,Application Security,"Results: To evaluate Vudenc, we used 1,009 vulnerability-ﬁxing commits from diﬀerent GitHub repositories that · contain seven diﬀerent types of vulnerabilities (SQL injection, XSS, Command injection, XSRF, Remote code execution, Path disclosure, Open redirect) for training. In the experimental evalu",https://arxiv.org/pdf/2201.08441,1,Document,PDF,0.86,,,,,CC BY-NC-ND 4.0,2023-01-23,,,,,15/07/2026,arxiv.org,,,,non-commercial/copyleft license (nc)
ReposVul: A Repository-Level High-Quality Vulnerability Dataset,Application Security,"To address the above limitations, in this paper, we propose an automated data collection framework and construct the first repository-level high-quality vulnerability dataset named ReposVul.",https://ieeexplore.ieee.org/abstract/document/10554864,1,Website,HTML,0.01,,,,,All Rights Reserved,,,,,,15/07/2026,ieeexplore.ieee.org,,,,non-commercial/copyleft license (all rights reserved)
"Canton Repository: Local News, Politics & Sports in Canton, OH",Data Security and Privacy,"Get the latest breaking news, sports, entertainment and obituaries in Canton, OH from Canton Repository.",https://www.cantonrep.com/,1,Website,HTML,0.07,,,,,All Rights Reserved,,,,,,15/07/2026,cantonrep.com,,,,non-commercial/copyleft license (all rights reserved)
tuhh-softsec,Vulnerability Management,"Each vulnerability in the dataset is provided along with a human patch, Proof-of-Vulnerability (PoV) test case(s), and other information for the reproduction of the vulnerability. In this repository, we host the Vul4J dataset, the support framework ...",https://github.com/tuhh-softsec/vul4j,,Repository,,2580.99,,,,,GPL-3.0,2026-07-08,,,,,15/07/2026,tuhh-softsec,135,,,non-commercial/copyleft license (gpl)
From Build to Runtime: Comprehensive Container Security Practices,Cloud Security,Inject at Runtime: Map secrets into your containers as read-only files (tmpfs) rather than environment variables whenever possible for enhanced security.,https://dohost.us/index.php/2026/07/11/from-build-to-runtime-comprehensive-container-security-practices/,,Website,HTML,,,,,,All Rights Reserved,,,,,,15/07/2026,dohost.us,,,,non-commercial/copyleft license (all rights reserved)
FragBench: Cross-Session Attacks Hidden in Benign-Looking Fragments,Cryptography,"The single-turn judge is near chance on the released corpus by construction, but four GNN variants and three classical-ML baselines all recover the cross-session feature, reaching aggregate event-level ... 0.96. Defending against fragmented LLM misuse therefore requires modeling the cross-session in",https://arxiv.org/html/2605.11029,1,Document,PDF,0.49,,,,,CC BY-SA 4.0,2026-05-13,,,,,15/07/2026,arxiv.org,,,,non-commercial/copyleft license (sa)
"Container Security: Meaning, End-to-End Workflow, Best Practices, Tools & Standa",Cloud Security,"Learn what container security is and how it works across the container lifecycle. Covers best practices, tools, image security and scanning, registries, networks, threat detection, results, and standards.",https://www.cleanstart.com/guide/container-security,1,Website,HTML,0.43,,,,,All Rights Reserved,,,,,,15/07/2026,cleanstart.com,,,,non-commercial/copyleft license (all rights reserved)
Enhancing the De-identification of Personally Identifiable Information in Educat,Data Security and Privacy,"The generalizability analysis using the TSCC dataset further highlights its robustness, achieving a recall of 0.9895 with minimal additional training data from TSCC. These results emphasize the potential of fine-tuned GPT-4o-mini as an accurate and cost-effective tool for PII detection in educationa",https://arxiv.org/html/2501.09765v2,1,Document,PDF,0.32,,,,,CC BY-NC-ND 4.0,2025-09-18,,,,,15/07/2026,arxiv.org,,,,non-commercial/copyleft license (nc)
Container Security in 2025: 8 Key Components & 8 Best Practices,Cloud Security,"Effective container security focuses on minimizing vulnerabilities in container images, securing registries and orchestration platforms, enforcing strict access controls, and monitoring runtime environments for anomalies.",https://www.tigera.io/learn/guides/container-security-best-practices/,,Website,HTML,,,,,,All Rights Reserved,2026-07-14,,,,,15/07/2026,tigera.io,,,,non-commercial/copyleft license (all rights reserved)
