Name,Sub-Domain,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Note,Author,Popularity,Tags
CyberNative,Application Security,Secure-vs-insecure code pairs (DPO) across languages,https://huggingface.co/datasets/CyberNative/Code_Vulnerability_Security_DPO,1,Dataset,JSON,6.5,6.5,4656,8.061,4079,Apache-2.0,2024,Yes,Yes,Yes,Yes,18/6/2026,,,,
ZeoVan,Application Security,"C/C++ functions labeled vulnerable / not, from CVEs",https://github.com/ZeoVan/MSR_20_Code_Vulnerability_CSV_Dataset,1,Repository,CSV,53.8,57.7,4432,36.803,3630,MIT,2020,Yes,Yes,Yes,,18/6/2026,,,,
AYI-NEDJIMI,Cloud Security,"Cloud security best-practices, misconfigs & Q&A",https://huggingface.co/datasets/AYI-NEDJIMI/cloud-security-en,3,Dataset,Parquet,0.1,0.32,230,0.066,97,Apache-2.0,2026,Yes,Yes,Yes,Yes,18/6/2026,,,,
darkknight25,Cloud Security,Cloud vulnerabilities with vulnerable code + PoC,https://huggingface.co/datasets/darkknight25/Cloud_Vulnerabilities_Dataset,1,Dataset,JSONL,0.5,0.5,1200,,,MIT,2025,Yes,,Yes,Yes,18/6/2026,,,,
darkknight25,Cryptography,Cryptanalysis tools/techniques across cipher types,https://huggingface.co/datasets/darkknight25/Cryptanalysis_Toolkit_Dataset,1,Dataset,JSON,0.1,0.11,350,0.002,3,MIT,2025,Yes,Yes,Yes,Yes,18/6/2026,,,,
HappyHackingOrange,Cryptography,Ciphertext features for classic-cipher classification,https://github.com/HappyHackingOrange/Ciphertext-Classification-Ensemble-SVM,1,Dataset,CSV,125.4,145.1,85000,,,MIT,2022,Yes,,Yes,,18/6/2026,,,,
ScortonAI,Data Security and Privacy,US healthcare (HIPAA) data-breach records,https://huggingface.co/datasets/ScortonAI/Cyber-Security-Breaches,1,Dataset,JSONL,0.3,0.3,1055,0.297,134,MIT,2025,Yes,Yes,Yes,,18/6/2026,,,,
ethanolivertroy,"Governance, Risk and Compliance",NIST cybersecurity-framework training Q&A,https://huggingface.co/datasets/ethanolivertroy/nist-cybersecurity-training,2,Dataset,JSONL,956.8,956.8,530912,,,CC0-1.0,2025,Yes,,Yes,Yes,18/6/2026,,,,
AndreaSimeri,"Governance, Risk and Compliance",GDPR articles + recitals text,https://huggingface.co/datasets/AndreaSimeri/GDPR,2,Dataset,CSV,0.4,0.478,833,,,Apache-2.0,2024,Yes,,Yes,,18/6/2026,,,,
sims2k,"Governance, Risk and Compliance",GDPR question-answer instruction set,https://huggingface.co/datasets/sims2k/GDPR_QA_instruct_dataset,1,Dataset,Parquet,1,2.4,316,2.481,314,MIT,2024,Yes,Yes,Yes,Yes,18/6/2026,,,,
